case,variant,trials,returns,upper_bound_above_epsilon,witness_above_epsilon,full_table_rule_passes
A,conservative_all_exits,30,30,0,0,30
A,conservative_radius_gate,30,30,0,0,30
A,core_screen,30,30,0,0,30
A,sampled_radius_gate,30,30,0,0,30
B,conservative_all_exits,30,30,0,0,30
B,conservative_radius_gate,30,30,0,0,30
B,core_screen,30,30,0,0,30
B,sampled_radius_gate,30,30,0,0,30
C,conservative_all_exits,30,30,0,0,30
C,conservative_radius_gate,30,30,0,0,30
C,core_screen,30,30,0,0,30
C,sampled_radius_gate,30,30,0,0,30
D,conservative_all_exits,30,30,0,0,30
D,conservative_radius_gate,30,30,0,0,29
D,core_screen,30,30,0,0,29
D,sampled_radius_gate,30,30,0,0,29
flat_gain,conservative_all_exits,30,30,0,0,30
flat_gain,conservative_radius_gate,30,30,0,0,30
flat_gain,core_screen,30,30,0,0,30
flat_gain,sampled_radius_gate,30,30,0,0,30
linear,conservative_all_exits,30,0,0,0,0
linear,conservative_radius_gate,30,0,0,0,0
linear,core_screen,30,0,0,0,0
linear,sampled_radius_gate,30,0,0,0,0
portfolio0,conservative_all_exits,30,28,0,0,28
portfolio0,conservative_radius_gate,30,28,0,0,27
portfolio0,core_screen,30,30,2,1,27
portfolio0,sampled_radius_gate,30,28,0,0,27
portfolio1,conservative_all_exits,30,26,0,0,26
portfolio1,conservative_radius_gate,30,27,0,0,24
portfolio1,core_screen,30,29,2,0,24
portfolio1,sampled_radius_gate,30,27,0,0,24
portfolio2,conservative_all_exits,30,17,0,0,17
portfolio2,conservative_radius_gate,30,17,0,0,17
portfolio2,core_screen,30,25,8,0,17
portfolio2,sampled_radius_gate,30,17,0,0,17
unsupported,conservative_all_exits,30,0,0,0,0
unsupported,conservative_radius_gate,30,0,0,0,0
unsupported,core_screen,30,0,0,0,0
unsupported,sampled_radius_gate,30,0,0,0,0
