m,epsilon,gate,trials,returns,historical_lp_above_epsilon,successes_0025,reported_understatements
3,0.001,historical_lp_postfilter,420,58,0,20,0
3,0.001,original,420,336,278,183,16
3,0.001,sampled_postfilter,420,58,0,20,0
3,0.01,historical_lp_postfilter,420,98,0,60,0
3,0.01,original,420,336,238,183,16
3,0.01,sampled_postfilter,420,98,0,60,0
3,0.025,historical_lp_postfilter,420,129,0,77,0
3,0.025,original,420,336,207,183,16
3,0.025,sampled_postfilter,420,129,0,77,0
3,0.05,historical_lp_postfilter,420,146,0,86,2
3,0.05,original,420,336,190,183,16
3,0.05,sampled_postfilter,420,148,2,87,4
5,0.001,historical_lp_postfilter,420,44,0,29,0
5,0.001,original,420,365,321,168,26
5,0.001,sampled_postfilter,420,44,0,29,0
5,0.01,historical_lp_postfilter,420,44,0,29,0
5,0.01,original,420,365,321,168,26
5,0.01,sampled_postfilter,420,44,0,29,0
5,0.025,historical_lp_postfilter,420,45,0,29,0
5,0.025,original,420,365,320,168,26
5,0.025,sampled_postfilter,420,45,0,29,0
5,0.05,historical_lp_postfilter,420,54,0,31,0
5,0.05,original,420,365,311,168,26
5,0.05,sampled_postfilter,420,54,0,31,0
8,0.001,historical_lp_postfilter,420,60,0,60,0
8,0.001,original,420,393,333,213,10
8,0.001,sampled_postfilter,420,60,0,60,0
8,0.01,historical_lp_postfilter,420,60,0,60,0
8,0.01,original,420,393,333,213,10
8,0.01,sampled_postfilter,420,60,0,60,0
8,0.025,historical_lp_postfilter,420,90,0,90,0
8,0.025,original,420,393,303,213,10
8,0.025,sampled_postfilter,420,90,0,90,0
8,0.05,historical_lp_postfilter,420,90,0,90,0
8,0.05,original,420,393,303,213,10
8,0.05,sampled_postfilter,420,91,1,91,1
