problem_name,variant,trials,returns,reported_understatements,median_selected_error
A,AWT,30,30,0,0.0
A,adaptive,30,30,0,0.0
A,default_gain,30,30,0,0.0
A,full,30,30,0,0.0
A,no_abstention,30,30,0,0.0
A,no_nonextreme,30,30,0,0.0
A,no_normalization,30,30,0,0.0
A,no_stability_tiebreak,30,30,0,0.0
A,no_tradeoff,30,30,0,0.0
A,pairwise,30,30,0,0.0
A,vertices,30,30,0,0.0
B,AWT,30,30,0,0.0
B,adaptive,30,30,0,0.0
B,default_gain,30,30,0,0.0
B,full,30,30,0,0.0
B,no_abstention,30,30,0,0.0
B,no_nonextreme,30,30,0,0.0
B,no_normalization,30,0,0,
B,no_stability_tiebreak,30,30,0,0.0
B,no_tradeoff,30,30,0,0.0
B,pairwise,30,30,0,0.0
B,vertices,30,30,0,0.0
C,AWT,30,30,0,
C,adaptive,30,10,0,
C,default_gain,30,30,0,
C,full,30,30,0,
C,no_abstention,30,30,0,
C,no_nonextreme,30,30,0,
C,no_normalization,30,30,0,
C,no_stability_tiebreak,30,30,0,
C,no_tradeoff,30,30,0,
C,pairwise,30,30,0,
C,vertices,30,30,0,
D,AWT,30,30,0,
D,adaptive,30,30,0,
D,default_gain,30,30,0,
D,full,30,30,0,
D,no_abstention,30,30,0,
D,no_nonextreme,30,30,0,
D,no_normalization,30,30,0,
D,no_stability_tiebreak,30,30,0,
D,no_tradeoff,30,30,0,
D,pairwise,30,30,0,
D,vertices,30,30,0,
flat_gain,AWT,30,30,0,
flat_gain,adaptive,30,30,0,
flat_gain,default_gain,30,30,0,
flat_gain,full,30,30,0,
flat_gain,no_abstention,30,30,0,
flat_gain,no_nonextreme,30,30,0,
flat_gain,no_normalization,30,30,0,
flat_gain,no_stability_tiebreak,30,30,0,
flat_gain,no_tradeoff,30,30,0,
flat_gain,pairwise,30,30,0,
flat_gain,vertices,30,30,0,
linear,AWT,30,0,0,
linear,adaptive,30,0,0,
linear,default_gain,30,0,0,
linear,full,30,0,0,
linear,no_abstention,30,30,0,
linear,no_nonextreme,30,0,0,
linear,no_normalization,30,0,0,
linear,no_stability_tiebreak,30,0,0,
linear,no_tradeoff,30,0,0,
linear,pairwise,30,0,0,
linear,vertices,30,0,0,
portfolio0,AWT,30,30,0,
portfolio0,adaptive,30,13,0,
portfolio0,default_gain,30,30,0,
portfolio0,full,30,30,0,
portfolio0,no_abstention,30,30,0,
portfolio0,no_nonextreme,30,30,0,
portfolio0,no_normalization,30,30,0,
portfolio0,no_stability_tiebreak,30,30,0,
portfolio0,no_tradeoff,30,30,0,
portfolio0,pairwise,30,30,0,
portfolio0,vertices,30,30,0,
portfolio1,AWT,30,30,0,
portfolio1,adaptive,30,19,0,
portfolio1,default_gain,30,29,0,
portfolio1,full,30,29,0,
portfolio1,no_abstention,30,30,0,
portfolio1,no_nonextreme,30,30,0,
portfolio1,no_normalization,30,30,0,
portfolio1,no_stability_tiebreak,30,29,0,
portfolio1,no_tradeoff,30,30,0,
portfolio1,pairwise,30,29,0,
portfolio1,vertices,30,29,0,
portfolio2,AWT,30,30,0,
portfolio2,adaptive,30,7,0,
portfolio2,default_gain,30,25,2,
portfolio2,full,30,25,2,
portfolio2,no_abstention,30,30,2,
portfolio2,no_nonextreme,30,30,0,
portfolio2,no_normalization,30,18,0,
portfolio2,no_stability_tiebreak,30,25,2,
portfolio2,no_tradeoff,30,30,0,
portfolio2,pairwise,30,25,2,
portfolio2,vertices,30,25,2,
unsupported,AWT,30,3,0,0.04605746410735179
unsupported,adaptive,30,0,0,
unsupported,default_gain,30,0,0,
unsupported,full,30,0,0,
unsupported,no_abstention,30,30,0,0.4472135954999579
unsupported,no_nonextreme,30,0,0,
unsupported,no_normalization,30,0,0,
unsupported,no_stability_tiebreak,30,0,0,
unsupported,no_tradeoff,30,0,0,
unsupported,pairwise,30,0,0,
unsupported,vertices,30,0,0,
