window,method,total_NH3,water,safety_throughput,affine_identity_residual
CAISO_LA-Jan-row624,equal,45000.0,49870.588235294126,94.32962374138845,1.4551915228366852e-11
CAISO_LA-Jan-row624,TPE-2024-grid,45000.0,49870.588235294126,94.32962374138846,1.4551915228366852e-11
CAISO_LA-Apr-row432,TAFR-meaningful-gain,45000.0,49870.58823529412,94.32962374138847,0.0
CAISO_LA-Apr-row432,equal,45000.0,49870.58823529412,94.32962374138847,0.0
CAISO_LA-Apr-row432,TPE-2024-grid,45000.00000000001,66970.58823529413,208.4437378555026,0.0
ISO_NE-year-row6576,equal,45000.000000000015,49870.58823529415,94.32962374138856,0.0
ISO_NE-year-row6576,TPE-2024-grid,45000.0,49870.588235294126,94.32962374138849,7.275957614183426e-12
ISO_NE-year-row1680,equal,45000.00000000001,49870.588235294126,94.32962374138847,0.0
ISO_NE-year-row1680,TPE-2024-grid,45000.0,49870.588235294126,94.32962374138847,7.275957614183426e-12
CAISO_LA-Jan-row48,equal,45000.000000000015,49870.58823529415,94.32962374138856,0.0
CAISO_LA-Jan-row48,TPE-2024-grid,45000.0,49870.588235294126,94.32962374138847,7.275957614183426e-12
CAISO_LA-Aug-row432,equal,45000.000000000015,49870.58823529415,94.32962374138856,0.0
CAISO_LA-Aug-row432,TPE-2024-grid,44999.99999999999,49870.58823529411,94.32962374138842,7.275957614183426e-12
ISO_NE-year-row6672,equal,45000.000000000015,49870.58823529415,94.32962374138856,0.0
ISO_NE-year-row6672,TPE-2024-grid,45000.0,49870.588235294126,94.32962374138845,1.4551915228366852e-11
ISO_NE-year-row4128,equal,45000.000000000015,49870.58823529415,94.32962374138856,0.0
ISO_NE-year-row4128,TPE-2024-grid,45000.0,49870.588235294126,94.32962374138847,7.275957614183426e-12
CAISO_LA-Aug-row336,equal,45000.000000000015,49870.58823529415,94.32962374138856,0.0
CAISO_LA-Aug-row336,TPE-2024-grid,45000.0,49870.58823529412,94.32962374138847,0.0
CAISO_LA-Aug-row240,equal,45000.000000000015,49870.58823529415,94.32962374138856,0.0
CAISO_LA-Aug-row240,TPE-2024-grid,45000.0,49870.588235294126,94.32962374138847,7.275957614183426e-12
ISO_NE-year-row5904,equal,45000.000000000015,49870.58823529415,94.32962374138856,0.0
ISO_NE-year-row5904,TPE-2024-grid,45000.0,49870.588235294126,94.32962374138847,7.275957614183426e-12
ISO_NE-year-row1104,equal,45000.000000000015,49870.58823529415,94.32962374138856,0.0
ISO_NE-year-row1104,TPE-2024-grid,45000.0,49870.588235294126,94.32962374138846,1.4551915228366852e-11
