window,method,stratum,selected,certified,cost,emissions,water,safety_throughput,R_reported,R_validation
CAISO_LA-Jan-row624,TAFR-meaningful-gain,low,False,False,,,,,,
CAISO_LA-Jan-row624,equal,low,True,False,28528.240717964632,129625.90497368832,49870.588235294126,94.32962374138845,,0.5317699218354061
CAISO_LA-Jan-row624,TPE-2024-grid,low,True,False,32284.69469345516,111725.89569036299,49870.588235294126,94.32962374138846,,0.11562267810030291
CAISO_LA-Apr-row432,TAFR-meaningful-gain,low,True,True,36120.13704885834,91343.79159181504,49870.58823529412,94.32962374138847,0.018015050163423276,0.018015050163423276
CAISO_LA-Apr-row432,equal,low,True,False,36120.13704885834,91343.79159181504,49870.58823529412,94.32962374138847,,0.018015050163423276
CAISO_LA-Apr-row432,TPE-2024-grid,low,True,False,47160.58004560428,76698.63175986469,66970.58823529413,208.4437378555026,,0.11227357296752946
ISO_NE-year-row6576,TAFR-meaningful-gain,low,False,False,,,,,,
ISO_NE-year-row6576,equal,low,True,False,33565.970890794226,118533.17064756074,49870.58823529415,94.32962374138856,,0.0
ISO_NE-year-row6576,TPE-2024-grid,low,True,False,30967.763903162435,116061.20662289525,49870.588235294126,94.32962374138849,,15.277789492674962
ISO_NE-year-row1680,TAFR-meaningful-gain,low,False,False,,,,,,
ISO_NE-year-row1680,equal,low,True,False,42680.101697807,115689.37264514528,49870.588235294126,94.32962374138847,,6.708203932499369
ISO_NE-year-row1680,TPE-2024-grid,low,True,False,36525.27231924706,111150.96977639536,49870.588235294126,94.32962374138847,,16.15256390470533
CAISO_LA-Jan-row48,TAFR-meaningful-gain,middle,False,False,,,,,,
CAISO_LA-Jan-row48,equal,middle,True,False,37323.45240643823,133654.1691637743,49870.58823529415,94.32962374138856,,6.708203932499369
CAISO_LA-Jan-row48,TPE-2024-grid,middle,True,False,35968.03624697315,116660.9800971387,49870.588235294126,94.32962374138847,,14.461331849999365
CAISO_LA-Aug-row432,TAFR-meaningful-gain,middle,False,False,,,,,,
CAISO_LA-Aug-row432,equal,middle,True,False,47421.277271440515,126758.23584108043,49870.58823529415,94.32962374138856,,6.708203932499369
CAISO_LA-Aug-row432,TPE-2024-grid,middle,True,False,43135.22238950439,116798.48062949779,49870.58823529411,94.32962374138842,,20.63316294450607
ISO_NE-year-row6672,TAFR-meaningful-gain,middle,False,False,,,,,,
ISO_NE-year-row6672,equal,middle,True,False,35881.98445720072,110319.0275414621,49870.58823529415,94.32962374138856,,0.0
ISO_NE-year-row6672,TPE-2024-grid,middle,True,False,32912.19978862475,104532.05088971338,49870.588235294126,94.32962374138845,,16.17970975157109
ISO_NE-year-row4128,TAFR-meaningful-gain,middle,False,False,,,,,,
ISO_NE-year-row4128,equal,middle,True,False,33540.74927586394,122287.52850350906,49870.58823529415,94.32962374138856,,0.0
ISO_NE-year-row4128,TPE-2024-grid,middle,True,False,31948.166529506238,118460.79321948532,49870.588235294126,94.32962374138847,,13.941370099571216
CAISO_LA-Aug-row336,TAFR-meaningful-gain,high,False,False,,,,,,
CAISO_LA-Aug-row336,equal,high,True,False,51764.16202717209,137260.9510049003,49870.58823529415,94.32962374138856,,0.0
CAISO_LA-Aug-row336,TPE-2024-grid,high,True,False,48515.45874620334,123721.15795277484,49870.58823529412,94.32962374138847,,15.037730064555326
CAISO_LA-Aug-row240,TAFR-meaningful-gain,high,False,False,,,,,,
CAISO_LA-Aug-row240,equal,high,True,False,50092.18541971056,130815.84062748763,49870.58823529415,94.32962374138856,,0.0
CAISO_LA-Aug-row240,TPE-2024-grid,high,True,False,45943.10162727228,120942.32165127757,49870.588235294126,94.32962374138847,,16.168295103265965
ISO_NE-year-row5904,TAFR-meaningful-gain,high,False,False,,,,,,
ISO_NE-year-row5904,equal,high,True,False,45318.556450808974,123368.63712012966,49870.58823529415,94.32962374138856,,0.0
ISO_NE-year-row5904,TPE-2024-grid,high,True,False,38017.27739751638,116065.88829853761,49870.588235294126,94.32962374138847,,14.47767417644619
ISO_NE-year-row1104,TAFR-meaningful-gain,high,False,False,,,,,,
ISO_NE-year-row1104,equal,high,True,False,38108.07412774048,115635.00354668804,49870.58823529415,94.32962374138856,,6.708203932499369
ISO_NE-year-row1104,TPE-2024-grid,high,True,False,33624.259846870584,110939.84386558857,49870.588235294126,94.32962374138846,,15.3497612108387
