instance,method,trials,returns,successes,median_selected_error,failures,success_rate
PMOP1-3,TAFR-meaningful-gain,30,30,11,0.06722228344091277,0,0.36666666666666664
PMOP1-3,TPE-2024-grid,30,30,0,0.6905818755643177,0,0.0
PMOP1-3,equal,30,30,30,0.0,0,1.0
PMOP1-5,TAFR-meaningful-gain,30,30,8,0.33510148753239266,0,0.26666666666666666
PMOP1-5,TPE-2024-grid,30,30,4,0.7871485899632278,0,0.13333333333333333
PMOP1-5,equal,30,30,30,0.0,0,1.0
PMOP1-8,TAFR-meaningful-gain,30,29,4,0.3193507155485449,0,0.13333333333333333
PMOP1-8,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP1-8,equal,30,30,30,0.0,0,1.0
PMOP10-3,TAFR-meaningful-gain,30,30,28,0.0,0,0.9333333333333333
PMOP10-3,TPE-2024-grid,30,30,0,0.7732013849874122,0,0.0
PMOP10-3,equal,30,30,30,0.0,0,1.0
PMOP10-5,TAFR-meaningful-gain,30,30,23,0.0,0,0.7666666666666667
PMOP10-5,TPE-2024-grid,30,30,0,0.7270204084663053,0,0.0
PMOP10-5,equal,30,30,30,0.0,0,1.0
PMOP10-8,TAFR-meaningful-gain,30,30,30,0.0,0,1.0
PMOP10-8,TPE-2024-grid,30,30,0,0.49409721737318607,0,0.0
PMOP10-8,equal,30,30,30,0.0,0,1.0
PMOP11-3,TAFR-meaningful-gain,30,30,0,0.1862292297700707,0,0.0
PMOP11-3,TPE-2024-grid,30,30,0,0.5783006588466513,0,0.0
PMOP11-3,equal,30,30,0,0.1862292297700707,0,0.0
PMOP11-5,TAFR-meaningful-gain,30,30,0,0.18587339480177703,0,0.0
PMOP11-5,TPE-2024-grid,30,30,0,0.7393995432514594,0,0.0
PMOP11-5,equal,30,30,0,0.18587339480177703,0,0.0
PMOP11-8,TAFR-meaningful-gain,30,30,0,0.18804911681258366,0,0.0
PMOP11-8,TPE-2024-grid,30,30,0,0.18804911681258366,0,0.0
PMOP11-8,equal,30,30,0,0.18804911681258366,0,0.0
PMOP12-3,TAFR-meaningful-gain,30,30,6,0.0355274915890697,0,0.2
PMOP12-3,TPE-2024-grid,30,30,12,0.03268048993415354,0,0.4
PMOP12-3,equal,30,30,0,0.06778636991347176,0,0.0
PMOP12-5,TAFR-meaningful-gain,30,30,30,0.01812633238955146,0,1.0
PMOP12-5,TPE-2024-grid,30,30,29,0.01812633238955146,0,0.9666666666666667
PMOP12-5,equal,30,30,30,0.01812633238955146,0,1.0
PMOP12-8,TAFR-meaningful-gain,30,30,24,0.0,0,0.8
PMOP12-8,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP12-8,equal,30,30,30,0.0,0,1.0
PMOP13-3,TAFR-meaningful-gain,30,30,30,0.0,0,1.0
PMOP13-3,TPE-2024-grid,30,30,5,0.7719736069925506,0,0.16666666666666666
PMOP13-3,equal,30,30,30,0.0,0,1.0
PMOP13-5,TAFR-meaningful-gain,30,30,30,0.0,0,1.0
PMOP13-5,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP13-5,equal,30,30,30,0.0,0,1.0
PMOP13-8,TAFR-meaningful-gain,30,30,30,0.0,0,1.0
PMOP13-8,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP13-8,equal,30,30,30,0.0,0,1.0
PMOP14-3,TAFR-meaningful-gain,30,30,24,0.0,0,0.8
PMOP14-3,TPE-2024-grid,30,30,0,0.759874371770155,0,0.0
PMOP14-3,equal,30,30,30,0.0,0,1.0
PMOP14-5,TAFR-meaningful-gain,30,30,0,0.028635256981241558,0,0.0
PMOP14-5,TPE-2024-grid,30,30,0,0.028635256981241558,0,0.0
PMOP14-5,equal,30,30,0,0.028635256981241558,0,0.0
PMOP14-8,TAFR-meaningful-gain,30,30,30,0.0,0,1.0
PMOP14-8,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP14-8,equal,30,30,30,0.0,0,1.0
PMOP2-3,TAFR-meaningful-gain,30,0,0,,0,0.0
PMOP2-3,TPE-2024-grid,30,30,0,0.5749049597043383,0,0.0
PMOP2-3,equal,30,30,0,0.5715594945818983,0,0.0
PMOP2-5,TAFR-meaningful-gain,30,0,0,,0,0.0
PMOP2-5,TPE-2024-grid,30,30,0,0.6135632239486505,0,0.0
PMOP2-5,equal,30,30,0,0.5484767743719902,0,0.0
PMOP2-8,TAFR-meaningful-gain,30,30,0,0.5259188516809404,0,0.0
PMOP2-8,TPE-2024-grid,30,30,0,0.5259188516809404,0,0.0
PMOP2-8,equal,30,30,0,0.5259188516809404,0,0.0
PMOP3-3,TAFR-meaningful-gain,30,30,2,0.11622248370520391,0,0.06666666666666667
PMOP3-3,TPE-2024-grid,30,30,6,0.06098426884622328,0,0.2
PMOP3-3,equal,30,30,0,0.16348216384037711,0,0.0
PMOP3-5,TAFR-meaningful-gain,30,30,0,0.0475634474620311,0,0.0
PMOP3-5,TPE-2024-grid,30,30,2,0.0475634474620311,0,0.06666666666666667
PMOP3-5,equal,30,30,0,0.0475634474620311,0,0.0
PMOP3-8,TAFR-meaningful-gain,30,30,4,0.09589462281009568,0,0.13333333333333333
PMOP3-8,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP3-8,equal,30,30,30,0.0,0,1.0
PMOP4-3,TAFR-meaningful-gain,30,0,0,,0,0.0
PMOP4-3,TPE-2024-grid,30,30,0,0.42515614069747837,0,0.0
PMOP4-3,equal,30,30,0,0.4060927229784399,0,0.0
PMOP4-5,TAFR-meaningful-gain,30,30,0,0.37997771671193503,0,0.0
PMOP4-5,TPE-2024-grid,30,30,0,0.574376595943672,0,0.0
PMOP4-5,equal,30,30,0,0.37997771671193503,0,0.0
PMOP4-8,TAFR-meaningful-gain,30,30,0,0.3740578760300155,0,0.0
PMOP4-8,TPE-2024-grid,30,30,0,0.3740578760300155,0,0.0
PMOP4-8,equal,30,30,0,0.3740578760300155,0,0.0
PMOP5-3,TAFR-meaningful-gain,30,30,25,0.0,0,0.8333333333333334
PMOP5-3,TPE-2024-grid,30,30,0,0.5922767751286149,0,0.0
PMOP5-3,equal,30,30,30,0.0,0,1.0
PMOP5-5,TAFR-meaningful-gain,30,30,21,0.0,0,0.7
PMOP5-5,TPE-2024-grid,30,30,4,0.8283302306986544,0,0.13333333333333333
PMOP5-5,equal,30,30,30,0.0,0,1.0
PMOP5-8,TAFR-meaningful-gain,30,30,30,0.0,0,1.0
PMOP5-8,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP5-8,equal,30,30,30,0.0,0,1.0
PMOP6-3,TAFR-meaningful-gain,30,30,30,0.007942008187402639,0,1.0
PMOP6-3,TPE-2024-grid,30,30,27,0.007942008187402639,0,0.9
PMOP6-3,equal,30,30,30,0.007942008187402639,0,1.0
PMOP6-5,TAFR-meaningful-gain,30,30,26,0.0,0,0.8666666666666667
PMOP6-5,TPE-2024-grid,30,30,19,0.0,0,0.6333333333333333
PMOP6-5,equal,30,30,30,0.0,0,1.0
PMOP6-8,TAFR-meaningful-gain,30,30,30,0.0,0,1.0
PMOP6-8,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP6-8,equal,30,30,30,0.0,0,1.0
PMOP7-3,TAFR-meaningful-gain,30,6,0,0.12402309779792861,0,0.0
PMOP7-3,TPE-2024-grid,30,30,0,0.6015552595957279,0,0.0
PMOP7-3,equal,30,30,30,0.0,0,1.0
PMOP7-5,TAFR-meaningful-gain,30,5,2,0.10074681538854112,0,0.06666666666666667
PMOP7-5,TPE-2024-grid,30,30,3,0.7959162270846626,0,0.1
PMOP7-5,equal,30,30,30,0.0,0,1.0
PMOP7-8,TAFR-meaningful-gain,30,4,1,0.12158348060441505,0,0.03333333333333333
PMOP7-8,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP7-8,equal,30,30,30,0.0,0,1.0
PMOP8-3,TAFR-meaningful-gain,30,30,0,0.33857935417926216,0,0.0
PMOP8-3,TPE-2024-grid,30,30,0,0.5285390214929323,0,0.0
PMOP8-3,equal,30,30,0,0.33857935417926216,0,0.0
PMOP8-5,TAFR-meaningful-gain,30,30,0,0.2829395771804554,0,0.0
PMOP8-5,TPE-2024-grid,30,30,0,0.6738995951208342,0,0.0
PMOP8-5,equal,30,30,0,0.2829395771804554,0,0.0
PMOP8-8,TAFR-meaningful-gain,30,30,0,0.1888579092809791,0,0.0
PMOP8-8,TPE-2024-grid,30,30,0,0.1888579092809791,0,0.0
PMOP8-8,equal,30,30,0,0.1888579092809791,0,0.0
PMOP9-3,TAFR-meaningful-gain,30,30,27,0.009132934552300617,0,0.9
PMOP9-3,TPE-2024-grid,30,30,25,0.004585547008604007,0,0.8333333333333334
PMOP9-3,equal,30,30,30,0.009132934552300617,0,1.0
PMOP9-5,TAFR-meaningful-gain,30,30,28,0.0,0,0.9333333333333333
PMOP9-5,TPE-2024-grid,30,30,24,0.0,0,0.8
PMOP9-5,equal,30,30,30,0.0,0,1.0
PMOP9-8,TAFR-meaningful-gain,30,30,30,0.0,0,1.0
PMOP9-8,TPE-2024-grid,30,30,30,0.0,0,1.0
PMOP9-8,equal,30,30,30,0.0,0,1.0
