bundle,problem_name,method,selected,raw_objectives,R_reported,R_validation,exit_tradeoff
ammonia_pilot,CAISO_LA-Jan-row624,TAFR-meaningful-gain,False,,,,
ammonia_pilot,CAISO_LA-Jan-row624,equal,True,"[28528.240717964632, 129625.90497368832, 49870.588235294126, 94.32962374138845]",,0.5317699218354061,
ammonia_pilot,CAISO_LA-Jan-row624,TPE-2024-grid,True,"[32284.69469345516, 111725.89569036299, 49870.588235294126, 94.32962374138846]",,0.11562267810030291,
ammonia_pilot,ISO_NE-year-row5904,TAFR-meaningful-gain,False,,,,
ammonia_pilot,ISO_NE-year-row5904,equal,True,"[45318.556450808974, 123368.63712012966, 49870.58823529415, 94.32962374138856]",,0.0,
ammonia_pilot,ISO_NE-year-row5904,TPE-2024-grid,True,"[38017.27739751638, 116065.88829853761, 49870.588235294126, 94.32962374138847]",,14.47767417644619,
ammonia_pilot_global_range,CAISO_LA-Jan-row624,TAFR-meaningful-gain,True,"[31143.52585960633, 112991.81643427975, 49870.588235294126, 94.32962374138846]",0.017163349715426615,0.017163349715426615,1.5081407908627191
ammonia_pilot_global_range,CAISO_LA-Jan-row624,equal,True,"[30851.75943441968, 114532.24315418105, 49870.588235294126, 94.3296237413885]",,0.15660677801764938,
ammonia_pilot_global_range,CAISO_LA-Jan-row624,TPE-2024-grid,True,"[31716.87707229398, 111878.49907495549, 49870.58823529412, 94.32962374138847]",,0.02462324382501944,
ammonia_pilot_global_range,ISO_NE-year-row5904,TAFR-meaningful-gain,False,,,,
ammonia_pilot_global_range,ISO_NE-year-row5904,equal,True,"[37748.38730859754, 116339.86853060039, 49870.58823529415, 94.32962374138856]",,0.007382713043003748,
ammonia_pilot_global_range,ISO_NE-year-row5904,TPE-2024-grid,True,"[37585.73666889533, 117267.51693721961, 49870.58823529407, 94.32962374138833]",,0.0007121902442661867,
