samples,adaptive_rounds,detection_probability,wilson95,mean_gap,mean_calls
0,0,0.0,"[3.469446951953614e-18, 0.03699349820698568]",0.12116637201018371,7.0
4,0,0.11,"[0.06254196357064568, 0.18631296503080313]",0.1078380710890635,11.0
8,0,0.22,"[0.150012823846054, 0.31070353514985793]",0.09450977016794329,15.0
16,0,0.43,"[0.33733298524110106, 0.5278461045078768]",0.06906483204580473,23.0
32,0,0.62,"[0.5220975529551107, 0.7090240074752127]",0.0460432213638698,39.0
64,0,0.79,"[0.7002003116591013, 0.858343459380847]",0.02544493812213854,71.0
128,0,0.97,"[0.9154806357094724, 0.9897454759759611]",0.0036349911603054588,135.0
16,1,0.58,"[0.4820648670304296, 0.6720161732564526]",0.05088987624427714,34.64
16,2,0.7,"[0.6041514536665332, 0.7810511470506724]",0.03634991160305509,46.29
16,4,0.83,"[0.7445199523239887, 0.8910643388594006]",0.02059828324173119,70.04
