Problem,Variant,Completed,Runs,Median,Q1,Q3
DAS1,normalized,30,30,1.0000000408880712,1.0000000047221491,1.5664517083623888
DAS1,scipy_shape_compatibility,30,30,1.0000000065568067,1.0000000009467562,1.0000003792197991
DO2DK,normalized,30,30,1.0000000141250975,1.0000000018005573,1.0000001103380898
DO2DK,scipy_shape_compatibility,30,30,1.0000000051843674,1.000000000393004,1.0000001395113343
DO2DKtight,normalized,30,30,1.0000000208487316,1.0000000003740788,1.0000002430677284
DO2DKtight,scipy_shape_compatibility,30,30,1.0000000000000004,1.0,1.0000000000047873
GRV1,normalized,30,30,1.1935705940763626,1.1935411221480543,2.1478847133461167
GRV1,scipy_shape_compatibility,30,30,1.1820318780287598,1.1820318779249566,1.1820318788197135
GRV2,normalized,30,30,1.0000000018805228,1.0000000003482383,1.0000000127937514
GRV2,scipy_shape_compatibility,30,30,1.0000000057692229,1.0000000003074985,1.0000000320901492
VFM1,normalized,30,30,1.0000419240684153,1.0000297884325444,1.0000610526201024
VFM1,scipy_shape_compatibility,30,30,1.4142255704097644,1.4142175363025107,1.4142351351471207
VFM1constr,normalized,30,30,1.0000317951183484,1.0000188646677723,1.000058615903646
VFM1constr,scipy_shape_compatibility,30,30,1.4142420144005352,1.3792513488561648,1.5064442672247274
ZLT1,normalized,30,30,1.0000475828505044,1.0000341937379005,1.0000592218077626
ZLT1,scipy_shape_compatibility,30,30,1.0000475828505044,1.0000341937379007,1.0000592218077624
ZLT1q,normalized,30,30,1.0000787444047037,1.0000636676560604,1.002604238782801
ZLT1q,scipy_shape_compatibility,30,30,1.0000787444047037,1.0000636676560604,1.002604238782801
