problem,algorithm,variant,status,mcf,solver_calls
GRV2,NM,published,completed,1.0000004564999894,103.0
GRV2,NM,scipy_shape_compatibility,completed,1.0000004564999894,103.0
GRV2,NM,normalized,completed,1.0000000145848809,124.0
GRV2,DIRECT,published,completed,1.0000000093654422,2207.0
GRV2,DIRECT,scipy_shape_compatibility,completed,1.0000000093654422,2207.0
GRV2,DIRECT,normalized,completed,1.0000123569283859,2207.0
ZLT1,NM,published,completed,1.0000266972407492,162.0
ZLT1,NM,scipy_shape_compatibility,completed,1.0000266972407492,162.0
ZLT1,NM,normalized,completed,1.0000266972407492,162.0
ZLT1,DIRECT,published,completed,1.0000000000000002,3197.0
ZLT1,DIRECT,scipy_shape_compatibility,completed,1.0000000000000002,3197.0
ZLT1,DIRECT,normalized,completed,1.0,3200.0
GRV1,NM,published,completed,1.18203187858906,209.0
GRV1,NM,scipy_shape_compatibility,completed,1.18203187858906,209.0
GRV1,NM,normalized,completed,1.19356213641278,219.0
GRV1,DIRECT,published,completed,1.182032370521647,3319.0
GRV1,DIRECT,scipy_shape_compatibility,completed,1.182032370521647,3319.0
GRV1,DIRECT,normalized,completed,1.198539663356375,3326.0
VFM1,NM,published,completed,1.4142288634367093,165.0
VFM1,NM,scipy_shape_compatibility,completed,1.4142288634367093,165.0
VFM1,NM,normalized,completed,1.0000406561830164,153.0
VFM1,DIRECT,published,completed,1.4142135623730951,3326.0
VFM1,DIRECT,scipy_shape_compatibility,completed,1.4142135623730951,3326.0
VFM1,DIRECT,normalized,completed,1.0000584973447209,3215.0
ZLT1q,NM,published,completed,1.0000644894320891,473.0
ZLT1q,NM,scipy_shape_compatibility,completed,1.0000644894320891,473.0
ZLT1q,NM,normalized,completed,1.0000644894320894,473.0
ZLT1q,DIRECT,published,completed,1.0000000000000002,198.0
ZLT1q,DIRECT,scipy_shape_compatibility,completed,1.0000000000000002,198.0
ZLT1q,DIRECT,normalized,completed,1.0000000000000004,198.0
DAS1,NM,published,failed,,
DAS1,NM,scipy_shape_compatibility,completed,1.000000000111773,140.0
DAS1,NM,normalized,completed,1.0000000214044311,115.0
DAS1,DIRECT,published,failed,,
DAS1,DIRECT,scipy_shape_compatibility,completed,1.0000029345958867,2218.0
DAS1,DIRECT,normalized,completed,1.0000044503367322,2216.0
DO2DK,NM,published,failed,,
DO2DK,NM,scipy_shape_compatibility,completed,1.000000020476995,124.0
DO2DK,NM,normalized,completed,1.0000006600816715,102.0
DO2DK,DIRECT,published,failed,,
DO2DK,DIRECT,scipy_shape_compatibility,completed,1.0001226351010237,2207.0
DO2DK,DIRECT,normalized,completed,1.0003209891289886,2207.0
DO2DKtight,NM,published,failed,,
DO2DKtight,NM,scipy_shape_compatibility,completed,1.0000000000000002,92.0
DO2DKtight,NM,normalized,completed,1.0000015249134324,97.0
DO2DKtight,DIRECT,published,failed,,
DO2DKtight,DIRECT,scipy_shape_compatibility,completed,1.0,2608.0
DO2DKtight,DIRECT,normalized,completed,1.0002565684422877,2200.0
VFM1constr,NM,published,failed,,
VFM1constr,NM,scipy_shape_compatibility,completed,1.4142397058352252,189.0
VFM1constr,NM,normalized,completed,1.0000182357870944,180.0
VFM1constr,DIRECT,published,failed,,
VFM1constr,DIRECT,scipy_shape_compatibility,failed,,
VFM1constr,DIRECT,normalized,completed,1.0000000468611494,3349.0
